rank,owner,name,full_name,clone_url,forks,watchers,open_issues,describtion_length,size,branches
123,omerta-web-master,e-commerce-platform,omerta-web-master/e-commerce-platform,https://github.com/omerta-web-master/e-commerce-platform.git,1,0,0,17,4360,2
124,fatemehalimardaani,crwn-clothing,fatemehalimardaani/crwn-clothing,https://github.com/fatemehalimardaani/crwn-clothing.git,1,0,0,24,688,2
125,aaanx,online-shop,aaanx/online-shop,https://github.com/aaanx/online-shop.git,1,0,19,17,2736,2
126,xela-jm,react-online-shop,xela-jm/react-online-shop,https://github.com/xela-jm/react-online-shop.git,1,0,4,17,514,2
127,SeoJeongho,react_online_shop_app,SeoJeongho/react_online_shop_app,https://github.com/SeoJeongho/react_online_shop_app.git,1,0,28,21,7534,2
128,ofeldi,shopit,ofeldi/shopit,https://github.com/ofeldi/shopit.git,1,0,0,25,662,2
129,zhumakhann,skinali,zhumakhann/skinali,https://github.com/zhumakhann/skinali.git,1,0,0,20,3647,2
130,2016lisali,jacks_garden,2016lisali/jacks_garden,https://github.com/2016lisali/jacks_garden.git,1,2,1,45,2192,2
131,H1ako,onlineShop,H1ako/onlineShop,https://github.com/H1ako/onlineShop.git,0,0,0,54,2316,2
132,Exlaza,lazax-clothing,Exlaza/lazax-clothing,https://github.com/Exlaza/lazax-clothing.git,0,2,19,55,985,2
133,MeghnaSaha,cart-it,MeghnaSaha/cart-it,https://github.com/MeghnaSaha/cart-it.git,0,0,0,15,295,2
134,ChavaIsrael,Electronics-Store,ChavaIsrael/Electronics-Store,https://github.com/ChavaIsrael/Electronics-Store.git,1,2,0,62,5636,2
135,2016lisali,jacks_garden_server,2016lisali/jacks_garden_server,https://github.com/2016lisali/jacks_garden_server.git,0,2,0,53,1967,2
136,deepak9044,Created-a-WebTech-project-with-ReactJS,deepak9044/Created-a-WebTech-project-with-ReactJS,https://github.com/deepak9044/Created-a-WebTech-project-with-ReactJS.git,0,0,0,23,326,2
137,Bjornhona,buscarella-react,Bjornhona/buscarella-react,https://github.com/Bjornhona/buscarella-react.git,0,0,0,27,296,2
138,shayan-hamidi,onlineShopReact,shayan-hamidi/onlineShopReact,https://github.com/shayan-hamidi/onlineShopReact.git,0,0,0,59,6,2
139,meganyilee,reactproj1,meganyilee/reactproj1,https://github.com/meganyilee/reactproj1.git,0,0,0,32,341,2
140,tiutenkoff,react-pizza,tiutenkoff/react-pizza,https://github.com/tiutenkoff/react-pizza.git,0,0,0,17,1665,2
141,alejandroMAD,react-horchata,alejandroMAD/react-horchata,https://github.com/alejandroMAD/react-horchata.git,0,0,3,20,700,2
142,tiutenkoff,react-sneakers,tiutenkoff/react-sneakers,https://github.com/tiutenkoff/react-sneakers.git,0,0,0,23,905,2
143,rachell331,react-shop,rachell331/react-shop,https://github.com/rachell331/react-shop.git,0,0,1,22,972,2
144,Auridel,react-pizza,Auridel/react-pizza,https://github.com/Auridel/react-pizza.git,0,0,0,17,1484,2
145,disage,react-pizza,disage/react-pizza,https://github.com/disage/react-pizza.git,0,0,16,17,3364,2
146,rahkarino,react-shop,rahkarino/react-shop,https://github.com/rahkarino/react-shop.git,0,0,0,26,411,2
147,valerykharko,react-pizza,valerykharko/react-pizza,https://github.com/valerykharko/react-pizza.git,0,0,0,17,1185,2
148,SriYagateela,Reactjs-Website,SriYagateela/Reactjs-Website,https://github.com/SriYagateela/Reactjs-Website.git,0,0,0,31,5182,2
149,Denyska-H,React-Shop,Denyska-H/React-Shop,https://github.com/Denyska-H/React-Shop.git,0,0,0,22,18937,2
150,MrBekzod0899,OnlineShop,MrBekzod0899/OnlineShop,https://github.com/MrBekzod0899/OnlineShop.git,0,0,0,12,1656,2
