,owner,name,full_name,clone_url,forks,watchers,open_issues,describtion_length,size,branches
134,rachanaSane,angularOnlineShop,rachanaSane/angularOnlineShop,https://github.com/rachanaSane/angularOnlineShop.git,0,0,0,0,115,2
135,Tysiachnyi,angularOnline-Shop,Tysiachnyi/angularOnline-Shop,https://github.com/Tysiachnyi/angularOnline-Shop.git,0,0,2,0,448,2
136,monishanandhakumar,AngularOnlineShopping,monishanandhakumar/AngularOnlineShopping,https://github.com/monishanandhakumar/AngularOnlineShopping.git,0,0,0,0,166,2
137,PadmaGnanapriya,angular-online-shop,PadmaGnanapriya/angular-online-shop,https://github.com/PadmaGnanapriya/angular-online-shop.git,0,0,0,15,194,2
138,buithanhchinh,ShoppingCartOnline,buithanhchinh/ShoppingCartOnline,https://github.com/buithanhchinh/ShoppingCartOnline.git,0,0,0,38,53,2
139,abhijit-mazumdar,OnlineShop,abhijit-mazumdar/OnlineShop,https://github.com/abhijit-mazumdar/OnlineShop.git,0,0,0,61,64,2
140,yash2701,OnlineShopping,yash2701/OnlineShopping,https://github.com/yash2701/OnlineShopping.git,0,0,19,54,776,2
141,chinna-naidu,onlineShop,chinna-naidu/onlineShop,https://github.com/chinna-naidu/onlineShop.git,0,0,0,59,188,2
142,RomProject,OnlineShop,RomProject/OnlineShop,https://github.com/RomProject/OnlineShop.git,0,1,0,49,9120,2
143,naasir27,onlineShop,naasir27/onlineShop,https://github.com/naasir27/onlineShop.git,0,0,0,53,118,2
144,mohamed351,OnlineShopper,mohamed351/OnlineShopper,https://github.com/mohamed351/OnlineShopper.git,0,0,4,50,786,2
145,Majey,angular-online-shop,Majey/angular-online-shop,https://github.com/Majey/angular-online-shop.git,0,0,0,90,389,2
146,tatev-tahmazyan,online-shop,tatev-tahmazyan/online-shop,https://github.com/tatev-tahmazyan/online-shop.git,0,0,0,35,23527,2
147,thuyenuit,AngularJS1.0-ShopOnline,thuyenuit/AngularJS1.0-ShopOnline,https://github.com/thuyenuit/AngularJS1.0-ShopOnline.git,0,0,0,53,9617,2
148,ronanstuchi,Angular-ShoppingCart,ronanstuchi/Angular-ShoppingCart,https://github.com/ronanstuchi/Angular-ShoppingCart.git,0,0,0,41,225,2
149,moti-art,Shopping-Online,moti-art/Shopping-Online,https://github.com/moti-art/Shopping-Online.git,0,0,0,42,149,2
150,jo-ngei,online-shopping,jo-ngei/online-shopping,https://github.com/jo-ngei/online-shopping.git,0,0,0,43,250,2
151,Libarus,online_shop,Libarus/online_shop,https://github.com/Libarus/online_shop.git,0,0,0,42,142,2
152,OksanaHodysh,online-shop,OksanaHodysh/online-shop,https://github.com/OksanaHodysh/online-shop.git,0,0,18,27,1888,2
153,harleyowiec,Online-Shop,harleyowiec/Online-Shop,https://github.com/harleyowiec/Online-Shop.git,0,0,0,45,215,2
154,nataliemazal,Angular-NodeJS-MongoDB-project,nataliemazal/Angular-NodeJS-MongoDB-project,https://github.com/nataliemazal/Angular-NodeJS-MongoDB-project.git,0,0,0,44,2567,2
155,efrain17,platzi-shop,efrain17/platzi-shop,https://github.com/efrain17/platzi-shop.git,0,0,0,35,36,2
156,floresfactor,shopAngular,floresfactor/shopAngular,https://github.com/floresfactor/shopAngular.git,0,0,0,46,116,2
157,kakarot96,online-shopping-store,kakarot96/online-shopping-store,https://github.com/kakarot96/online-shopping-store.git,0,0,16,17,699,2
158,mendz,shopping-online-exercise,mendz/shopping-online-exercise,https://github.com/mendz/shopping-online-exercise.git,0,0,19,14,1046,2
159,buddikatdk,EcomWebsite-Online-Shopping,buddikatdk/EcomWebsite-Online-Shopping,https://github.com/buddikatdk/EcomWebsite-Online-Shopping.git,0,0,17,27,2458,2
160,kaiyuan588,Online-shopping-cart,kaiyuan588/Online-shopping-cart,https://github.com/kaiyuan588/Online-shopping-cart.git,0,0,1,29,25,2
161,Dive1995,Online-shopping-site-Angular,Dive1995/Online-shopping-site-Angular,https://github.com/Dive1995/Online-shopping-site-Angular.git,0,0,0,38,27175,2
162,bahadirali,online-shopping-site-angular,bahadirali/online-shopping-site-angular,https://github.com/bahadirali/online-shopping-site-angular.git,0,0,0,45,1148,2
163,patapron,angular-online-shop,patapron/angular-online-shop,https://github.com/patapron/angular-online-shop.git,0,0,19,30,2554,2
164,rizaldisepta,Online-Shop-Application-Angular,rizaldisepta/Online-Shop-Application-Angular,https://github.com/rizaldisepta/Online-Shop-Application-Angular.git,0,0,0,48,1050,2
165,manish0502,Building-Angular-based-Shopping-Cart,manish0502/Building-Angular-based-Shopping-Cart,https://github.com/manish0502/Building-Angular-based-Shopping-Cart.git,0,2,0,136,860,2
166,amitpawar832ap,OnlineShopingCartAngular6,amitpawar832ap/OnlineShopingCartAngular6,https://github.com/amitpawar832ap/OnlineShopingCartAngular6.git,0,0,0,0,106,2
167,dasarka,OnlineShoppingApp-using-Angular,dasarka/OnlineShoppingApp-using-Angular,https://github.com/dasarka/OnlineShoppingApp-using-Angular.git,0,1,0,0,370,2
168,Claudiu-Badilas,OnlineShop_Angular-SpringFramework,Claudiu-Badilas/OnlineShop_Angular-SpringFramework,https://github.com/Claudiu-Badilas/OnlineShop_Angular-SpringFramework.git,0,0,0,0,4499,2
169,Iodachi,OnlineGrocery,Iodachi/OnlineGrocery,https://github.com/Iodachi/OnlineGrocery.git,0,0,0,62,68921,2
170,strike9906,Angular-shop,strike9906/Angular-shop,https://github.com/strike9906/Angular-shop.git,0,0,0,34,301,2
171,Sateesh30,Angular-Project,Sateesh30/Angular-Project,https://github.com/Sateesh30/Angular-Project.git,0,0,0,41,98,2
172,nagarajuakula,eshopping-angular,nagarajuakula/eshopping-angular,https://github.com/nagarajuakula/eshopping-angular.git,0,0,0,48,1587,2
