,owner,name,full_name,clone_url,forks,watchers,open_issues,describtion_length,size,branches,framework
98,VladKurluk,Online-vue-shop,VladKurluk/Online-vue-shop,https://github.com/VladKurluk/Online-vue-shop.git,0,0,0,29,126,2,vue
99,IvanValdesF,OnlineShopVueNodeJS,IvanValdesF/OnlineShopVueNodeJS,https://github.com/IvanValdesF/OnlineShopVueNodeJS.git,0,0,0,0,231,2,vue
100,MoiOcanas,Vue-shop,MoiOcanas/Vue-shop,https://github.com/MoiOcanas/Vue-shop.git,1,0,0,29,225,2,vue
101,gerasem,vue-shopping,gerasem/vue-shopping,https://github.com/gerasem/vue-shopping.git,0,0,0,27,899,2,vue
102,aririfani,vue-shop,aririfani/vue-shop,https://github.com/aririfani/vue-shop.git,1,0,0,31,103,2,vue
103,rob-digital,Vue---Online-Shop-Imitation,rob-digital/Vue---Online-Shop-Imitation,https://github.com/rob-digital/Vue---Online-Shop-Imitation.git,1,0,0,14,514,2,vue
104,gxhao2020,vue-online-shop-frontend,gxhao2020/vue-online-shop-frontend,https://github.com/gxhao2020/vue-online-shop-frontend.git,1,0,0,20,718,2,vue
105,lihui-coder,vue-shop-online,lihui-coder/vue-shop-online,https://github.com/lihui-coder/vue-shop-online.git,0,0,0,18,114,2,vue
106,yuminghe,vue2-online-shop-taobao,yuminghe/vue2-online-shop-taobao,https://github.com/yuminghe/vue2-online-shop-taobao.git,0,0,0,6,434,2,vue
107,Dennis-Katilov,Node_VueJS_Online_Shop,Dennis-Katilov/Node_VueJS_Online_Shop,https://github.com/Dennis-Katilov/Node_VueJS_Online_Shop.git,0,0,0,0,492,2,vue
108,lifechat,Vue3-PyOnlineShop,lifechat/Vue3-PyOnlineShop,https://github.com/lifechat/Vue3-PyOnlineShop.git,1,0,0,23,17229,2,vue
109,vilmisv,Vue-js-vuex-online-shop-,vilmisv/Vue-js-vuex-online-shop-,https://github.com/vilmisv/Vue-js-vuex-online-shop-.git,0,0,0,0,137,2,vue
110,zhanghuan570436048,onlineShoppingMall,zhanghuan570436048/onlineShoppingMall,https://github.com/zhanghuan570436048/onlineShoppingMall.git,1,1,0,12,652,2,vue
111,Benqqa,tutorial_online_shop,Benqqa/tutorial_online_shop,https://github.com/Benqqa/tutorial_online_shop.git,0,0,0,38,252,2,vue
112,gaoyuan1223m,Mi-Mock-Online-Shopping,gaoyuan1223m/Mi-Mock-Online-Shopping,https://github.com/gaoyuan1223m/Mi-Mock-Online-Shopping.git,0,1,0,34,31541,2,vue
113,Keringer91,online-shop-app,Keringer91/online-shop-app,https://github.com/Keringer91/online-shop-app.git,0,0,25,37,3366,2,vue
114,ASVVIZIT,vue3-shop-part1,ASVVIZIT/vue3-shop-part1,https://github.com/ASVVIZIT/vue3-shop-part1.git,0,0,0,44,150,2,vue
115,tanght19,eshop,tanght19/eshop,https://github.com/tanght19/eshop.git,1,0,0,30,822,2,vue
116,Inesnribeiro,vue-research-shopping,Inesnribeiro/vue-research-shopping,https://github.com/Inesnribeiro/vue-research-shopping.git,0,0,0,46,347,2,vue
117,Belchenkov,fashion-store-vue,Belchenkov/fashion-store-vue,https://github.com/Belchenkov/fashion-store-vue.git,0,0,2,45,482,2,vue
118,leandropdmolin,basic-shop-vue,leandropdmolin/basic-shop-vue,https://github.com/leandropdmolin/basic-shop-vue.git,0,0,0,36,131,2,vue
119,Polkagris,E-shop-vuejs,Polkagris/E-shop-vuejs,https://github.com/Polkagris/E-shop-vuejs.git,0,0,0,42,6403,2,vue
120,diegotpereira,vue-loja-firebase,diegotpereira/vue-loja-firebase,https://github.com/diegotpereira/vue-loja-firebase.git,0,0,0,40,1064,2,vue
121,AbdullayevDilshodbek,shopping_with_vuejs,AbdullayevDilshodbek/shopping_with_vuejs,https://github.com/AbdullayevDilshodbek/shopping_with_vuejs.git,0,0,0,38,1048,2,vue
122,jjulianto,online-shop,jjulianto/online-shop,https://github.com/jjulianto/online-shop.git,0,0,5,116,2861,2,vue
123,bezzyck,Vue_online_shop,bezzyck/Vue_online_shop,https://github.com/bezzyck/Vue_online_shop.git,0,0,0,22,483,2,vue
124,dm1tr,vue-simple-online-shop,dm1tr/vue-simple-online-shop,https://github.com/dm1tr/vue-simple-online-shop.git,1,1,2,32,179,2,vue
125,0522-coulds,Vue-Online-Shopping-Mall,0522-coulds/Vue-Online-Shopping-Mall,https://github.com/0522-coulds/Vue-Online-Shopping-Mall.git,1,0,0,7,5243,2,vue
126,Aucdmn,OnlineShopping,Aucdmn/OnlineShopping,https://github.com/Aucdmn/OnlineShopping.git,1,0,0,26,147,2,vue
127,cvEngineer-hh,shopOnline,cvEngineer-hh/shopOnline,https://github.com/cvEngineer-hh/shopOnline.git,0,1,0,16,392,2,vue
128,bagasamri,shopbagas,bagasamri/shopbagas,https://github.com/bagasamri/shopbagas.git,0,0,21,42,610,2,vue
129,xushnudbek20,online-shop-vue,xushnudbek20/online-shop-vue,https://github.com/xushnudbek20/online-shop-vue.git,0,0,3,0,229,2,vue
130,Aleksandrov91,online-shop-with-vue,Aleksandrov91/online-shop-with-vue,https://github.com/Aleksandrov91/online-shop-with-vue.git,0,0,0,34,566,2,vue
131,runardvl,vuejs-online-shop,runardvl/vuejs-online-shop,https://github.com/runardvl/vuejs-online-shop.git,0,0,1,59,604,2,vue
132,blessed-tawanda,vue-online-shop-design,blessed-tawanda/vue-online-shop-design,https://github.com/blessed-tawanda/vue-online-shop-design.git,0,0,22,87,3159,2,vue
133,liwei3380,vue-online-shop-backend,liwei3380/vue-online-shop-backend,https://github.com/liwei3380/vue-online-shop-backend.git,1,0,0,0,4,2,vue
134,irinaWinter,online-shop-vue,irinaWinter/online-shop-vue,https://github.com/irinaWinter/online-shop-vue.git,0,0,0,108,1018,2,vue
135,et20020223,vue-online-shopping,et20020223/vue-online-shopping,https://github.com/et20020223/vue-online-shopping.git,0,0,0,0,161,2,vue
136,Svetlana177,vue_online_shop,Svetlana177/vue_online_shop,https://github.com/Svetlana177/vue_online_shop.git,0,0,0,0,222,2,vue
137,theodorerlax,online_shop-vue,theodorerlax/online_shop-vue,https://github.com/theodorerlax/online_shop-vue.git,0,0,0,0,3542,2,vue
138,Anna-Ilina-Vn,vue_online_shop,Anna-Ilina-Vn/vue_online_shop,https://github.com/Anna-Ilina-Vn/vue_online_shop.git,0,0,0,34,69432,2,vue
139,lmbrjk,vue-online-shop,lmbrjk/vue-online-shop,https://github.com/lmbrjk/vue-online-shop.git,0,0,0,0,1484,2,vue
140,liubrook,vue-online-shop,liubrook/vue-online-shop,https://github.com/liubrook/vue-online-shop.git,1,0,0,24,742,2,vue
141,gandipapa,vue-online-shop-frontend,gandipapa/vue-online-shop-frontend,https://github.com/gandipapa/vue-online-shop-frontend.git,0,0,0,0,195,2,vue
142,AlexanderBredun,best_online_shop_vue,AlexanderBredun/best_online_shop_vue,https://github.com/AlexanderBredun/best_online_shop_vue.git,0,0,0,0,1797,2,vue
143,gxhao2020,vue-online-shop-backend,gxhao2020/vue-online-shop-backend,https://github.com/gxhao2020/vue-online-shop-backend.git,1,0,0,23,26,2,vue
144,Aleksandr1945,online_shop_vue,Aleksandr1945/online_shop_vue,https://github.com/Aleksandr1945/online_shop_vue.git,0,0,0,0,419,2,vue
145,Arrrrray,vue-online-shop-backend,Arrrrray/vue-online-shop-backend,https://github.com/Arrrrray/vue-online-shop-backend.git,1,0,2,32,39,2,vue
