complexity,cognitive_complexity,duplicated_blocks,duplicated_files,duplicated_lines,duplicated_lines_density,violations,open_issues,confirmed_issues,false_positive_issues,blocker_violations,critical_violations,major_violations,minor_violations,info_violations,code_smells,sqale_rating,sqale_index,sqale_debt_ratio,alert_status,quality_gate_details,bugs,reliability_rating,reliability_remediation_effort,vulnerabilities,security_rating,security_remediation_effort,security_hotspots,security_review_rating,security_hotspots_reviewed,lines_to_cover,skipped_tests,tests,test_execution_time,test_errors,test_failures,test_success_density
47,31,0,0,0,0.0,7,7,0,0,0,0,4,3,0,4,1.0,35,0.2,OK,"{""level"":""OK"",""conditions"":[],""ignoredConditions"":false}",3,3.0,10,0,1.0,0,10,5.0,0.0,167,,,,,,
894,169,84,16,816,7.2,147,147,0,0,0,5,87,55,0,80,1.0,674,0.3,OK,"{""level"":""OK"",""conditions"":[],""ignoredConditions"":false}",67,3.0,167,0,1.0,0,1,5.0,0.0,1784,,,,,,
4847,27471,30,17,833,1.2,1548,1548,0,0,2,27,1480,32,7,483,1.0,29641,1.9,OK,"{""level"":""OK"",""conditions"":[],""ignoredConditions"":false}",1064,5.0,1247,1,4.0,10,8,5.0,0.0,7774,,,,,,
18,6,0,0,0,0.0,4,4,0,0,0,0,1,3,0,0,1.0,0,0.0,OK,"{""level"":""OK"",""conditions"":[],""ignoredConditions"":false}",4,3.0,11,0,1.0,0,16,5.0,0.0,35,,,,,,
864,326,8,5,361,2.8,130,130,0,0,0,6,53,69,2,105,1.0,320,0.2,OK,"{""level"":""OK"",""conditions"":[],""ignoredConditions"":false}",25,4.0,45,0,1.0,0,7,5.0,0.0,1439,,,,,,
25,10,0,0,0,0.0,20,20,0,0,0,0,16,4,0,18,1.0,80,1.3,OK,"{""level"":""OK"",""conditions"":[],""ignoredConditions"":false}",2,2.0,7,0,1.0,0,0,1.0,,36,,,,,,
1,0,0,0,0,0.0,10,10,0,0,0,0,3,7,0,6,1.0,12,0.2,OK,"{""level"":""OK"",""conditions"":[],""ignoredConditions"":false}",4,3.0,8,0,1.0,0,0,1.0,,3,,,,,,
26,5,0,0,0,0.0,1,1,0,0,0,1,0,0,0,1,1.0,5,0.1,OK,"{""level"":""OK"",""conditions"":[],""ignoredConditions"":false}",0,1.0,0,0,1.0,0,0,1.0,,28,,,,,,
1002,1064,214,28,3786,23.5,539,539,0,0,9,23,230,277,0,488,1.0,2110,0.6,OK,"{""level"":""OK"",""conditions"":[],""ignoredConditions"":false}",51,5.0,136,0,1.0,0,123,5.0,0.0,2684,,,,,,
4,0,0,0,0,0.0,39,39,0,0,0,0,6,33,0,1,1.0,5,0.1,OK,"{""level"":""OK"",""conditions"":[],""ignoredConditions"":false}",38,3.0,78,0,1.0,0,0,1.0,,8,,,,,,
1328,794,8,7,205,1.7,71,71,0,0,0,15,28,24,4,61,1.0,382,0.2,OK,"{""level"":""OK"",""conditions"":[],""ignoredConditions"":false}",10,3.0,33,0,1.0,0,6,5.0,0.0,2682,,,,,,
165,22,0,0,0,0.0,58,58,0,0,0,7,19,32,0,23,1.0,83,0.2,OK,"{""level"":""OK"",""conditions"":[],""ignoredConditions"":false}",35,3.0,123,0,1.0,0,1,5.0,0.0,242,,,,,,
108,59,0,0,0,0.0,5,5,0,0,0,0,2,3,0,4,1.0,20,0.1,OK,"{""level"":""OK"",""conditions"":[],""ignoredConditions"":false}",1,3.0,5,0,1.0,0,0,1.0,,230,,,,,,
347,169,2,2,76,1.5,65,65,0,0,0,1,54,10,0,36,1.0,174,0.2,OK,"{""level"":""OK"",""conditions"":[],""ignoredConditions"":false}",29,4.0,49,0,1.0,0,2,5.0,0.0,650,,,,,,
1137,3059,8,3,199,0.7,329,329,0,0,4,24,165,134,2,175,1.0,4566,0.9,OK,"{""level"":""OK"",""conditions"":[],""ignoredConditions"":false}",154,5.0,340,0,1.0,0,22,5.0,0.0,2221,,,,,,
44,15,0,0,0,0.0,13,13,0,0,0,1,11,1,0,13,1.0,57,0.4,OK,"{""level"":""OK"",""conditions"":[],""ignoredConditions"":false}",0,1.0,0,0,1.0,0,1,5.0,0.0,90,,,,,,
2876,7400,0,0,0,0.0,342,342,0,0,1,7,290,44,0,334,1.0,9068,3.3,OK,"{""level"":""OK"",""conditions"":[],""ignoredConditions"":false}",8,3.0,40,0,1.0,0,13,5.0,0.0,4720,,,,,,
238,50,0,0,0,0.0,50,50,0,0,0,3,32,15,0,35,1.0,123,0.2,OK,"{""level"":""OK"",""conditions"":[],""ignoredConditions"":false}",15,4.0,45,0,1.0,0,1,5.0,0.0,396,,,,,,
57,11,0,0,0,0.0,8,8,0,0,0,0,6,2,0,0,1.0,0,0.0,OK,"{""level"":""OK"",""conditions"":[],""ignoredConditions"":false}",8,3.0,7,0,1.0,0,0,1.0,,89,,,,,,
6302,34111,4,2,139,0.4,647,647,0,0,1,15,568,55,8,626,1.0,37366,4.2,OK,"{""level"":""OK"",""conditions"":[],""ignoredConditions"":false}",21,4.0,111,0,1.0,0,7,5.0,0.0,10080,,,,,,
404,131,2,1,38,0.7,41,41,0,0,1,2,15,23,0,35,1.0,122,0.1,OK,"{""level"":""OK"",""conditions"":[],""ignoredConditions"":false}",6,3.0,32,0,1.0,0,1,5.0,0.0,872,,,,,,
98,19,0,0,0,0.0,11,11,0,0,0,0,11,0,0,11,1.0,27,0.1,OK,"{""level"":""OK"",""conditions"":[],""ignoredConditions"":false}",0,1.0,0,0,1.0,0,1,5.0,0.0,154,,,,,,
296,94,2,1,24,1.2,23,23,0,0,14,0,4,5,0,19,1.0,61,0.2,OK,"{""level"":""OK"",""conditions"":[],""ignoredConditions"":false}",4,3.0,20,0,1.0,0,1,5.0,0.0,504,,,,,,
46,13,0,0,0,0.0,1,1,0,0,0,0,1,0,0,1,1.0,20,0.2,OK,"{""level"":""OK"",""conditions"":[],""ignoredConditions"":false}",0,1.0,0,0,1.0,0,0,1.0,,63,,,,,,
