blocker_violations,bugs,classes,code_smells,cognitive_complexity,comment_lines,comment_lines_density,file_complexity,confirmed_issues,coverage,critical_violations,complexity,last_commit_date,development_cost,duplicated_blocks,duplicated_files,duplicated_lines,duplicated_lines_density,effort_to_reach_maintainability_rating_a,false_positive_issues,files,functions,info_violations,violations,line_coverage,lines,ncloc,ncloc_language_distribution,lines_to_cover,sqale_rating,major_violations,minor_violations,open_issues,reliability_rating,reliability_remediation_effort,reopened_issues,security_hotspots,security_hotspots_reviewed,security_rating,security_remediation_effort,security_review_rating,security_hotspots_reviewed_status,security_hotspots_to_review_status,skipped_tests
18,429,12,3791,61655,8537,12.4,239.8,0,0.0,355,13909,1584857620000,1809750,72,32,51910,65.0,0,0,61,4410,36,4220,0.0,79918,60325,css=19488;js=40805;web=32,22447,1.0,3653,158,4220,5.0,3603,0,19,0.0,1.0,0,5.0,0,19,
0,0,5,2,26,0,0.0,2.7,0,0.0,0,40,1629989659000,9900,0,0,0,0.0,0,0,15,20,0,2,0.0,406,330,js=330,203,1.0,1,1,2,1.0,0,0,2,0.0,1.0,0,5.0,0,2,
0,0,7,19,44,34,2.8,4.0,0,0.0,0,158,1651478459000,35730,2,2,50,3.6,0,0,40,122,0,19,0.0,1376,1191,js=1165;web=26,394,1.0,10,9,19,1.0,0,0,2,0.0,1.0,0,5.0,0,2,
0,2,4,21,67,46,2.5,3.8,0,0.0,1,178,1585693433000,53040,0,0,0,0.0,0,0,66,130,0,23,0.0,2106,1768,css=413;js=1334;web=21,243,1.0,14,8,23,3.0,2,0,1,0.0,1.0,0,5.0,0,1,
0,0,0,0,2,26,17.8,1.2,0,0.0,0,7,1634060117000,3600,0,0,0,0.0,0,0,8,4,0,0,0.0,170,120,css=45;js=55;web=20,15,1.0,0,0,0,1.0,0,0,0,,1.0,0,1.0,0,0,
0,2,7,2,45,88,9.1,3.9,0,0.0,1,102,1565802200000,26430,0,0,0,0.0,0,0,28,77,0,4,0.0,1068,881,css=41;js=823;web=17,156,1.0,2,1,4,3.0,6,0,1,0.0,1.0,0,5.0,0,1,
0,1,11,9,107,103,7.1,9.8,0,0.0,2,206,1543168177000,40440,0,0,0,0.0,0,0,28,116,0,10,0.0,1699,1348,css=163;js=1167;web=18,249,1.0,5,3,10,3.0,1,0,0,,1.0,0,1.0,0,0,
1,76,8,23,136,113,0.9,5.3,0,0.0,3,197,1636482579000,390720,117,20,3587,27.1,0,0,39,92,0,99,0.0,13249,13024,css=555;js=918;web=11551,242,1.0,71,24,99,5.0,137,0,22,0.0,1.0,0,5.0,0,22,
0,5,0,35,95,12,0.4,4.5,0,0.0,0,240,1636025159000,87900,2,2,54,1.6,0,0,70,160,0,40,0.0,3313,2930,css=1385;js=1532;web=13,419,1.0,31,9,40,3.0,5,0,0,,1.0,0,1.0,0,0,
0,6,6,11,49,189,8.9,3.2,0,0.0,1,76,1595970735000,58170,5,3,108,4.2,0,0,35,43,0,17,0.0,2601,1939,css=488;js=424;web=1027,103,1.0,10,6,17,3.0,2,0,0,,1.0,0,1.0,0,0,
0,13,0,80,20,587,9.8,3.7,0,0.0,12,127,1659718008547,161280,12,8,480,7.6,0,0,37,106,0,93,0.0,6304,5376,css=3171;js=2177;web=28,217,1.0,69,12,93,3.0,13,0,0,,1.0,0,1.0,0,0,
0,0,0,5,30,129,18.7,2.5,0,0.0,0,35,1621247546000,16830,2,1,78,10.3,0,0,14,18,0,5,0.0,754,561,ts=537;web=24,173,1.0,1,4,5,1.0,0,0,3,0.0,1.0,0,5.0,0,3,
0,0,1,14,7,59,16.9,3.7,0,0.0,0,52,1531841520000,8700,0,0,0,0.0,0,0,15,41,0,14,0.0,407,290,css=26;js=247;web=17,42,1.0,5,9,14,1.0,0,0,0,,1.0,0,1.0,0,0,
4,13,31,294,249,605,6.1,10.0,0,0.0,8,906,1597699417000,279870,45,18,1659,15.3,0,0,97,629,0,307,0.0,10836,9329,css=380;js=8923;web=26,1760,1.0,130,165,307,5.0,53,0,0,,1.0,0,1.0,0,0,
0,0,0,24,13,70,7.8,4.2,0,0.0,0,76,1659418591000,24690,2,2,21,2.1,0,0,24,65,0,24,0.0,990,823,css=74;js=629;web=120,111,1.0,14,10,24,1.0,0,0,1,0.0,1.0,0,5.0,0,1,
0,2,2,2,36,45,12.6,4.6,0,0.0,1,41,1659700921179,9330,0,0,0,0.0,0,0,14,23,0,4,0.0,432,311,css=90;js=200;web=21,50,1.0,3,0,4,3.0,2,0,0,,1.0,0,1.0,0,0,
0,0,7,5,38,61,10.1,3.4,0,0.0,1,51,1557319148000,16350,0,0,0,0.0,0,0,17,31,0,5,0.0,677,545,css=36;js=484;web=25,66,1.0,1,3,5,1.0,0,0,0,,1.0,0,1.0,0,0,
19,0,1,391,813,632,3.5,5.2,0,0.0,22,1908,1582702833000,519180,27,12,633,3.2,0,0,371,1307,0,391,0.0,20060,17306,css=4;js=17268;web=34,3490,1.0,227,123,391,1.0,0,0,11,0.0,1.0,0,5.0,0,11,
1,0,10,53,343,71,5.2,8.3,0,0.0,11,264,1659715106337,38910,0,0,0,0.0,0,0,35,131,2,53,0.0,1565,1297,css=12;js=1260;web=25,457,1.0,30,9,53,1.0,0,0,2,0.0,1.0,0,5.0,0,2,
0,4,36,97,446,312,4.1,9.7,0,0.0,9,935,1659715681497,216690,4,2,148,1.8,0,0,97,598,2,101,0.0,8448,7223,css=770;js=6430;web=23,1271,1.0,69,21,101,4.0,26,0,1,0.0,1.0,0,5.0,0,1,
0,0,0,16,32,26,0.7,2.8,0,0.0,0,172,1643276053000,107430,0,0,0,0.0,0,0,61,140,0,16,0.0,3839,3581,js=3561;web=20,212,1.0,6,10,16,1.0,0,0,1,0.0,1.0,0,5.0,0,1,
0,8,6,87,186,31,0.7,5.8,0,0.0,3,415,1659714590813,124710,10,6,232,5.0,0,0,81,310,0,95,0.0,4639,4157,css=453;js=3648;web=56,854,1.0,64,28,95,4.0,20,0,2,0.0,1.0,0,5.0,0,2,
0,0,0,8,5,5,0.7,0.6,0,0.0,0,63,1659725276755,20130,0,0,0,0.0,0,0,110,57,0,8,0.0,899,671,css=12;js=642;web=17,130,1.0,2,6,8,1.0,0,0,0,,1.0,0,1.0,0,0,
1,5,1,11,40,67,5.2,3.8,0,0.0,4,49,1601361603000,36660,2,1,18,1.3,0,0,20,27,0,16,0.0,1372,1222,css=669;js=532;web=21,61,1.0,5,6,16,5.0,21,0,0,,1.0,0,1.0,0,0,
