complexity,cognitive_complexity,duplicated_blocks,duplicated_files,duplicated_lines,duplicated_lines_density,violations,open_issues,confirmed_issues,false_positive_issues,blocker_violations,critical_violations,major_violations,minor_violations,info_violations,code_smells,sqale_rating,sqale_index,sqale_debt_ratio,alert_status,quality_gate_details,bugs,reliability_rating,reliability_remediation_effort,vulnerabilities,security_rating,security_remediation_effort,security_hotspots,security_review_rating,security_hotspots_reviewed,lines_to_cover,skipped_tests,tests,test_execution_time,test_errors,test_failures,test_success_density
265,74,2,2,20,0.7,52,52,0,0,0,10,13,27,2,42,1.0,121,0.2,OK,"{""level"":""OK"",""conditions"":[],""ignoredConditions"":false}",10,3.0,27,0,1.0,0,4,5.0,0.0,486,,,,,,
1,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,1.0,0,0.0,OK,"{""level"":""OK"",""conditions"":[],""ignoredConditions"":false}",0,1.0,0,0,1.0,0,0,1.0,,2,,,,,,
117,20,2,2,70,3.9,36,36,0,0,0,3,26,7,0,16,1.0,58,0.1,OK,"{""level"":""OK"",""conditions"":[],""ignoredConditions"":false}",20,3.0,32,0,1.0,0,0,1.0,,131,,,,,,
325,44,4,4,108,3.0,86,86,0,0,4,15,41,26,0,54,1.0,148,0.2,OK,"{""level"":""OK"",""conditions"":[],""ignoredConditions"":false}",32,5.0,52,0,1.0,0,1,5.0,0.0,518,,,,,,
23,3,0,0,0,0.0,10,10,0,0,0,1,8,1,0,7,1.0,42,0.5,OK,"{""level"":""OK"",""conditions"":[],""ignoredConditions"":false}",3,3.0,3,0,1.0,0,0,1.0,,59,,,,,,
54,25,0,0,0,0.0,25,25,0,0,0,2,15,8,0,17,1.0,89,0.5,OK,"{""level"":""OK"",""conditions"":[],""ignoredConditions"":false}",8,3.0,12,0,1.0,0,1,5.0,0.0,148,,,,,,
178,18,4,4,322,12.1,67,67,0,0,0,6,35,26,0,55,1.0,182,0.3,OK,"{""level"":""OK"",""conditions"":[],""ignoredConditions"":false}",12,3.0,30,0,1.0,0,0,1.0,,295,,,,,,
563,77,0,0,0,0.0,65,65,0,0,0,31,11,23,0,55,1.0,208,0.2,OK,"{""level"":""OK"",""conditions"":[],""ignoredConditions"":false}",10,3.0,50,0,1.0,0,0,1.0,,873,,,,,,
910,1468,4,2,88,1.1,125,125,0,0,4,19,89,12,1,84,1.0,1418,0.8,OK,"{""level"":""OK"",""conditions"":[],""ignoredConditions"":false}",41,3.0,67,0,1.0,0,4,5.0,0.0,1487,,,,,,
248,20,0,0,0,0.0,69,69,0,0,0,8,29,32,0,49,1.0,151,0.3,OK,"{""level"":""OK"",""conditions"":[],""ignoredConditions"":false}",20,3.0,25,0,1.0,0,0,1.0,,403,,,,,,
